MTML_position_x,MTML_position_y,MTML_position_z,MTML_orientation_x,MTML_orientation_y,MTML_orientation_z,MTML_orientation_w,MTML_gripper_angle,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_orientation_x,MTMR_orientation_y,MTMR_orientation_z,MTMR_orientation_w,MTMR_gripper_angle,PSML_position_x,PSML_position_y,PSML_position_z,PSML_orientation_x,PSML_orientation_y,PSML_orientation_z,PSML_orientation_w,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_orientation_x,PSMR_orientation_y,PSMR_orientation_z,PSMR_orientation_w,PSMR_gripper_angle,L_Gripper_X,L_Gripper_Y,R_Gripper_X,R_Gripper_Y,Needle_X,Needle_Y,R_4_X,R_4_Y,R_5_X,R_5_Y,R_6_X,R_6_Y,R_7_X,R_7_Y
0.227028,-0.049557,0.361148,-0.292642841300288,0.181431178786834,0.937895890806688,0.0423579131643996,0.519699,-0.249685,-0.025915,0.327234,0.218674531270225,0.315327486432968,0.917140423517588,0.107719400404905,0.535918,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,0.7403743104806934,3.1391883372734437,6.552576832151301,2.9022222222222225,2.876933962264151,1.1952594339622642,1.9403675048355897,2.001808510638298,3.3576879432624125,1.8989078014184397,4.694671600370027,1.7934227567067533,5.400851063829787,2.050837765957447
0.227016,-0.049549,0.361127,-0.29263590226898,0.181408416508405,0.937901975909833,0.0423686052114604,0.51998,-0.249685,-0.025923,0.32724,0.218680378868739,0.315339307567199,0.917134179259166,0.107726088926874,0.535882,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,1.4807486209613867,6.278376674546887,13.105153664302602,5.804444444444445,5.753867924528302,2.3905188679245284,3.8807350096711795,4.003617021276596,6.715375886524825,3.7978156028368795,9.389343200740054,3.5868455134135067,10.801702127659574,4.101675531914894
0.227007,-0.049562,0.361101,-0.292614415392087,0.181407356176663,0.937907460845824,0.0424001169748394,0.519638,-0.249685,-0.025915,0.327234,0.218674531270225,0.315327486432968,0.917140423517588,0.107719400404905,0.536067,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,2.2211229314420797,9.417565011820331,19.6577304964539,8.706666666666667,8.630801886792455,3.585778301886793,5.821102514506769,6.005425531914893,10.073063829787237,5.6967234042553185,14.084014801110083,5.3802682701202595,16.20255319148936,6.152513297872341
0.227009,-0.049589,0.361104,-0.292596958603787,0.181443717920907,0.937904795157757,0.0424239585957776,0.519709,-0.249685,-0.025915,0.327234,0.218674531270225,0.315327486432968,0.917140423517588,0.107719400404905,0.536118,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,2.9614972419227734,12.556753349093775,26.210307328605204,11.60888888888889,11.507735849056605,4.781037735849057,7.761470019342359,8.007234042553192,13.43075177304965,7.595631205673759,18.77868640148011,7.173691026827013,21.60340425531915,8.203351063829787
0.22702,-0.049589,0.361117,-0.292607173611609,0.181451811323698,0.937900695318471,0.0424095253392923,0.519547,-0.249685,-0.025923,0.32724,0.218680378868739,0.315339307567199,0.917134179259166,0.107726088926874,0.535975,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,3.7018715524034667,15.695941686367217,32.762884160756506,14.511111111111115,14.384669811320755,5.976297169811321,9.701837524177948,10.009042553191488,16.78843971631206,9.494539007092198,23.473358001850137,8.967113783533767,27.004255319148935,10.254188829787234
0.227043,-0.049597,0.361152,-0.293159890561853,0.180615178666951,0.937761125504164,0.045160904486415,0.519856,-0.249696,-0.025921,0.327241,0.218688692760076,0.315338262609089,0.917131563543814,0.107734539239968,0.535829,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,4.4422458628841595,18.835130023640662,39.3154609929078,17.413333333333334,17.26160377358491,7.171556603773586,11.642205029013539,12.010851063829787,20.146127659574475,11.393446808510637,28.168029602220166,10.760536540240519,32.40510638297872,12.305026595744682
0.227031,-0.049591,0.361158,-0.2931582872212,0.180615528022537,0.937761524085014,0.045161638770364,0.519637,-0.249685,-0.025915,0.327234,0.218674531270225,0.315327486432968,0.917140423517588,0.107719400404905,0.536122,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,5.182620173364853,21.974318360914104,45.86803782505911,20.31555555555556,20.13853773584906,8.36681603773585,13.582572533849127,14.012659574468083,23.503815602836887,13.29235460992908,32.862701202590195,12.553959296947273,37.80595744680851,14.355864361702128
0.227052,-0.049578,0.361183,-0.293186993399897,0.180612882994599,0.937755022261404,0.0451208557213104,0.519811,-0.249685,-0.025915,0.327234,0.218674531270225,0.315327486432968,0.917140423517588,0.107719400404905,0.535935,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,5.922994483845547,25.11350669818755,52.42061465721041,23.21777777777778,23.01547169811321,9.562075471698114,15.522940038684718,16.014468085106383,26.8615035460993,15.191262411347518,37.55737280296022,14.347382053654027,43.2068085106383,16.406702127659575
0.227063,-0.049571,0.361203,-0.293202814551974,0.180617145525264,0.937750344565557,0.0450981989472485,0.519595,-0.249685,-0.025915,0.327234,0.218674531270225,0.315327486432968,0.917140423517588,0.107719400404905,0.536024,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,6.6633687943262405,28.25269503546099,58.97319148936171,26.12,25.89240566037736,10.757334905660379,17.46330754352031,18.01627659574468,30.21919148936171,17.090170212765955,42.252044403330245,16.14080481036078,48.60765957446809,18.45753989361702
0.227072,-0.04955,0.361208,-0.293224331223927,0.180591673014807,0.937749959968937,0.0450683014351719,0.519711,-0.249685,-0.025915,0.327234,0.218674531270225,0.315327486432968,0.917140423517588,0.107719400404905,0.536056,0.11617,0.025904,-0.025939,-0.172618347103138,-0.295464105855198,-0.0738430696934643,0.936723582201716,-0.029901,0.001285,0.0408,0.005613,-0.316315028429027,0.212942733335878,-0.120366402172845,0.916576305790933,0.235341,7.403743104806933,31.391883372734434,65.52576832151301,29.02222222222223,28.76933962264151,11.952594339622642,19.403675048355897,20.018085106382976,33.57687943262412,18.989078014184397,46.946716003700274,17.934227567067534,54.00851063829787,20.508377659574467
